类型,问题,选项1,选项2,选项3,选项4,正确答案
single,单选题：（     ）对食品生产经营者生产经营食品的安全负责。,食品安全监管部门,行业协会,消费者,食品生产经营者,D
single,单选题：（ ）是供人食用或者饮用的成品和原料，以及按照传统既是食品又是中药材的物品，但是不包括以治疗为目的的物品。,农产品,食品,产品,食用农产品,B
single,单选题：（）对其销售的农产品，应当建立健全进货检查验收制度。,农产品销售企业,农产品销售个人,农产品生产企业,农民专业合作社,A
single,单选题：（）广告不得含有表示功效、安全性的断言或者保证、不得涉及疾病预防、治疗功能。,保健食品,特殊食品,药品,特殊膳食食品,A
single,单选题：（）是食品安全第一责任人。,政府,市场监管部门,农业部门,生产经营者,D
single,单选题：（）应当按照规定设立或者委托检测机构，对进场销售的农产品质量安全状况进行抽查检测。,农产品销售个人,农产品生产企业,农民专业合作社,农产品批发市场,D
single,单选题：（）应当对其生产经营的农产品质量安全负责。,农产品生产经营者,农业农村部,市场监管部门,政府,A
single,单选题：《食品安全国家标准 酱腌菜》（GB 2714-2015）为（）标准。,推荐性,强制性,可选择执行,地方,B
single,单选题：《中国人民共和国食品安全法》规定，发生食品安全事故潜在风险的，应当立即停止食品生产经营活动，并向（）食品安全监督管理部门报告。,所在地,所在地上一级,国家,县级以上,D
single,单选题：《中华人民共和国标准化法》规定，对满足基础通用、与强制性国家标准配套、对各有关行业起引领作用等需要的技术要求，可以制定（）。,团体标准,企业标准,行业标准,推荐性国家标准,D
single,单选题：《中华人民共和国动物防疫法》规定了动物疫病的预防、控制，动物和动物产品的检疫等内容，为食品生产企业（）畜禽肉类原料提供依据。,采集,采购、验收,进料、投料,生产,B
single,单选题：《中华人民共和国反食品浪费法》规定，（）应当采取措施防止食品浪费。,农产品销售者,餐饮服务经营者,食品超市,农贸市场,B
single,单选题：《中华人民共和刑法》规定，生产、销售不符合食品安全标准的食品，对人体健康造成严重危害或者有其他严重情节的，处（）有期徒刑，并处罚金。,三年以上五年以下有期徒刑,三年以上七年以下,三年以下有期徒刑,五年以上七年以下有期徒刑,B
single,单选题：《中华人民共和刑法》规定，生产、销售不符合食品安全标准的食品，足以造成严重食物中毒事故或者其他严重食源性疾病的，处（）或者拘役，并处罚金。,三年以上五年以下有期徒刑,五年以上七年以下有期徒刑,三年以下有期徒刑,一年以下有期徒刑,C
single,单选题：《中华人民共和刑法》规定，在生产、销售的食品中掺入有毒、有害的非食品原料的，对人体健康造成严重危害或者有其他严重情节的，处（）有期徒刑，并处罚金,三年以上七年以下,三年以下有期徒刑,五年以上七年以下有期徒刑,五年以上十年以下,D
single,单选题：《中华人民共和刑法》规定，在生产、销售的食品中掺入有毒、有害的非食品原料的，或者销售明知掺有有毒、有害的非食品原料的食品的，处（）有期徒刑，并处罚金；,五年以下,三年以上七年以下,三年以下有期徒刑,五年以上七年以下有期徒刑,A
single,单选题：餐饮服务项目中的（  ）仅限于中央厨房申请。,生食类食品制售,自制饮品销售,半成品制售,冷食类食品制售,C
